term,club,club_mp_count,education_group,mp_count,share,share_percent
7,,4,Wyższe,0,0.0,0.0
7,,4,Średnie,0,0.0,0.0
7,,4,Zasadnicze zawodowe,0,0.0,0.0
7,,4,Brak danych,4,1.0,100.0
7,,4,Inne,0,0.0,0.0
7,BC,4,Wyższe,2,0.5,50.0
7,BC,4,Średnie,2,0.5,50.0
7,BC,4,Zasadnicze zawodowe,0,0.0,0.0
7,BC,4,Brak danych,0,0.0,0.0
7,BC,4,Inne,0,0.0,0.0
7,KPSP,1,Wyższe,1,1.0,100.0
7,KPSP,1,Średnie,0,0.0,0.0
7,KPSP,1,Zasadnicze zawodowe,0,0.0,0.0
7,KPSP,1,Brak danych,0,0.0,0.0
7,KPSP,1,Inne,0,0.0,0.0
7,niez.,27,Wyższe,26,0.9629629629629629,96.29629629629629
7,niez.,27,Średnie,1,0.037037037037037035,3.7037037037037033
7,niez.,27,Zasadnicze zawodowe,0,0.0,0.0
7,niez.,27,Brak danych,0,0.0,0.0
7,niez.,27,Inne,0,0.0,0.0
7,PiS,152,Wyższe,141,0.9276315789473685,92.76315789473685
7,PiS,152,Średnie,11,0.07236842105263158,7.236842105263158
7,PiS,152,Zasadnicze zawodowe,0,0.0,0.0
7,PiS,152,Brak danych,0,0.0,0.0
7,PiS,152,Inne,0,0.0,0.0
7,PO,223,Wyższe,215,0.9641255605381166,96.41255605381166
7,PO,223,Średnie,8,0.03587443946188341,3.587443946188341
7,PO,223,Zasadnicze zawodowe,0,0.0,0.0
7,PO,223,Brak danych,0,0.0,0.0
7,PO,223,Inne,0,0.0,0.0
7,PSL,41,Wyższe,37,0.9024390243902439,90.2439024390244
7,PSL,41,Średnie,4,0.0975609756097561,9.75609756097561
7,PSL,41,Zasadnicze zawodowe,0,0.0,0.0
7,PSL,41,Brak danych,0,0.0,0.0
7,PSL,41,Inne,0,0.0,0.0
7,RP,12,Wyższe,6,0.5,50.0
7,RP,12,Średnie,5,0.4166666666666667,41.66666666666667
7,RP,12,Zasadnicze zawodowe,1,0.08333333333333333,8.333333333333332
7,RP,12,Brak danych,0,0.0,0.0
7,RP,12,Inne,0,0.0,0.0
7,SLD,36,Wyższe,33,0.9166666666666666,91.66666666666666
7,SLD,36,Średnie,3,0.08333333333333333,8.333333333333332
