term,education_group,mp_count,denominator_all,share_all,share_all_percent,denominator_known,share_known,share_known_percent
7,Wyższe,477,517,0.9226305609284333,92.26305609284333,513,0.9298245614035088,92.98245614035088
7,Średnie,35,517,0.06769825918762089,6.769825918762089,513,0.0682261208576998,6.82261208576998
7,Zasadnicze zawodowe,1,517,0.0019342359767891683,0.19342359767891684,513,0.001949317738791423,0.1949317738791423
7,Brak danych,4,517,0.007736943907156673,0.7736943907156674,513,,
7,Inne,0,517,0.0,0.0,513,0.0,0.0
8,Wyższe,465,505,0.9207920792079208,92.07920792079209,504,0.9226190476190477,92.26190476190477
8,Średnie,37,505,0.07326732673267326,7.326732673267326,504,0.07341269841269842,7.341269841269842
8,Zasadnicze zawodowe,2,505,0.0039603960396039604,0.39603960396039606,504,0.003968253968253968,0.3968253968253968
8,Brak danych,1,505,0.0019801980198019802,0.19801980198019803,504,,
8,Inne,0,505,0.0,0.0,504,0.0,0.0
9,Wyższe,443,475,0.9326315789473684,93.26315789473684,474,0.9345991561181435,93.45991561181435
9,Średnie,31,475,0.06526315789473684,6.526315789473684,474,0.06540084388185655,6.5400843881856545
9,Zasadnicze zawodowe,0,475,0.0,0.0,474,0.0,0.0
9,Brak danych,1,475,0.002105263157894737,0.21052631578947367,474,,
9,Inne,0,475,0.0,0.0,474,0.0,0.0
10,Wyższe,474,499,0.9498997995991983,94.98997995991984,499,0.9498997995991983,94.98997995991984
10,Średnie,25,499,0.050100200400801605,5.01002004008016,499,0.050100200400801605,5.01002004008016
10,Zasadnicze zawodowe,0,499,0.0,0.0,499,0.0,0.0
10,Brak danych,0,499,0.0,0.0,499,,
10,Inne,0,499,0.0,0.0,499,0.0,0.0
