term,mp_id,mp_term_key,name,club,professions,profession_raw,profession_clean,profession_group,profession_group_web
7,142,7-142,Adam Jarubas,,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,208,7-208,Adam Kwiatkowski,PiS,urzędnik,urzędnik,urzędnik,Administracja publiczna,Sektor publiczny i służby
7,178,7-178,Agnieszka Kołacz-Leszczyńska,PO,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,487,7-487,Aleksander Sosna,SLD,Inspektor pracy,Inspektor pracy,inspektor pracy,Administracja publiczna,Sektor publiczny i służby
7,463,7-463,Andrzej Dąbrowski,ZP,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,20,7-20,Anna Bańkowska,SLD,"ekonomista,urzędnik państwowy",urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
7,259,7-259,Anna Nemś,PO,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,286,7-286,Anna Paluch,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,219,7-219,Arkadiusz Litwiński,PO,mgr administracji,mgr administracji,mgr administracji,Administracja publiczna,Sektor publiczny i służby
7,111,7-111,Artur Górczyński,SLD,pracownik socjalny,pracownik socjalny,pracownik socjalny,Administracja publiczna,Sektor publiczny i służby
7,22,7-22,Barbara Bartuś,PiS,urzędnik,urzędnik,urzędnik,Administracja publiczna,Sektor publiczny i służby
7,499,7-499,Bożena Henczyca,PO,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,509,7-509,Elżbieta Nawrocka,PSL,urzędnik państwowy,urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
7,514,7-514,Filip Kaczyński,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,398,7-398,Genowefa Tokarska,PSL,pracownik administracji rządowej,pracownik administracji rządowej,pracownik administracji rządowej,Administracja publiczna,Sektor publiczny i służby
7,189,7-189,Henryk Kowalczyk,PiS,urzędnik,urzędnik,urzędnik,Administracja publiczna,Sektor publiczny i służby
7,169,7-169,Izabela Kloc,PiS,ekspert ds. funduszy europejskich,ekspert ds. funduszy europejskich,ekspert ds. funduszy europejskich,Administracja publiczna,Sektor publiczny i służby
7,192,7-192,Jacek Kozaczyński,PO,samorządowiec,samorządowiec,samorządowiec,Administracja publiczna,Sektor publiczny i służby
7,112,7-112,Jarosław Górczyński,PSL,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,350,7-350,Jarosław Sellin,PiS,urzędnik państwowy,urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
7,279,7-279,Konstanty Oświęcimski,PO,mgr administracji,mgr administracji,mgr administracji,Administracja publiczna,Sektor publiczny i służby
7,315,7-315,Krystyna Poślednia,PO,samorządowiec,samorządowiec,samorządowiec,Administracja publiczna,Sektor publiczny i służby
7,127,7-127,Krzysztof Hetman,,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,237,7-237,Marcin Mastalerek,PiS,samorządowiec,samorządowiec,samorządowiec,Administracja publiczna,Sektor publiczny i służby
7,13,7-13,Marek Ast,PiS,"pracownik samorządowy,radca prawny, urzędnik państwowy",pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,13,7-13,Marek Ast,PiS,"pracownik samorządowy,radca prawny, urzędnik państwowy",urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
7,461,7-461,Marek Gos,PSL,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,220,7-220,Marek Łapiński,PO,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,59,7-59,Marian Cycoń,PO,wyższy urzędnik samorządowy,wyższy urzędnik samorządowy,wyższy urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,31,7-31,Mariusz Błaszczak,PiS,urzędnik państwowy,urzędnik państwowy,urzędnik państwowy,Administracja publiczna,Sektor publiczny i służby
7,109,7-109,Małgorzata Gosiewska,PiS,urzędnik,urzędnik,urzędnik,Administracja publiczna,Sektor publiczny i służby
7,507,7-507,Małgorzata Woźniak,PO,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,225,7-225,Mieczysław Marcin Łuczak,PSL,pracownik administracji samorządowej,pracownik administracji samorządowej,pracownik administracji samorządowej,Administracja publiczna,Sektor publiczny i służby
7,444,7-444,Piotr Zgorzelski,PSL,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,474,7-474,Piotr Łukasz Babiarz,PiS,urzędnik,urzędnik,urzędnik,Administracja publiczna,Sektor publiczny i służby
7,501,7-501,Przemysław Krysztofiak,PO,pracownik administracji samorządowej,pracownik administracji samorządowej,pracownik administracji samorządowej,Administracja publiczna,Sektor publiczny i służby
7,470,7-470,Renata Janik,PO,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,505,7-505,Romuald Garczewski,PSL,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,10,7-10,Tadeusz Arkit,PO,urzędnik samorządowy,urzędnik samorządowy,urzędnik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,386,7-386,Tomasz Szymański,PO,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,512,7-512,Urszula Rusecka,PiS,"ekonomista, pracownik samorządowy",pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,6,7-6,Waldemar Andzel,PiS,pracownik samorządowy,pracownik samorządowy,pracownik samorządowy,Administracja publiczna,Sektor publiczny i służby
7,357,7-357,Waldemar Sługocki,PO,"urzędnik, nauczyciel akademicki",urzędnik,urzędnik,Administracja publiczna,Sektor publiczny i służby
7,16,7-16,Zbigniew Babalski,PiS,pracownik administracji państwowej,pracownik administracji państwowej,pracownik administracji państwowej,Administracja publiczna,Sektor publiczny i służby
7,1,7-1,Adam Abramowicz,PiS,menedżer,menedżer,menedżer,Biznes i finanse,Biznes i finanse
7,165,7-165,Adam Kępiński,SLD,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,335,7-335,Adam Rybakowicz,RP,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,29,7-29,Andrzej Biernat,PO,menedżer,menedżer,menedżer,Biznes i finanse,Biznes i finanse
7,122,7-122,Andrzej Gut-Mostowy,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,124,7-124,Andrzej Halicki,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,145,7-145,Andrzej Jaworski,PiS,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,159,7-159,Andrzej Kania,ZP,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,275,7-275,Andrzej Orzechowski,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,380,7-380,Andrzej Sztorc,PSL,"rolnik, przedsiębiorca",przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,20,7-20,Anna Bańkowska,SLD,"ekonomista,urzędnik państwowy",ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,90,7-90,Anna Fotyga,PiS,ekonomistka,ekonomistka,ekonomistka,Biznes i finanse,Biznes i finanse
7,119,7-119,Anna Grodzka,niez.,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,475,7-475,Antoni Błądek,PiS,gł. specjalista ds zarządzania systemami jakości w przemyśle motoryzacyjnym i lotniczym,gł. specjalista ds zarządzania systemami jakości w przemyśle motoryzacyjnym i lotniczym,gł. specjalista ds zarządzania systemami jakości w przemyśle motoryzacyjnym i lotniczym,Biznes i finanse,Biznes i finanse
7,337,7-337,Armand Kamil Ryfiński,niez.,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,71,7-71,Artur Dębski,PSL,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,33,7-33,Bartłomiej Bodio,PSL,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,428,7-428,Bogusław Wontor,SLD,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,155,7-155,Bożena Kamińska,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,204,7-204,Cezary Kucharski,PO,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,272,7-272,Cezary Olejniczak,SLD,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,491,7-491,Czesław Sobierajski,PiS,przedsiębiorca prywatny,przedsiębiorca prywatny,przedsiębiorca prywatny,Biznes i finanse,Biznes i finanse
7,147,7-147,Dariusz Joński,SLD,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,329,7-329,Dariusz Rosati,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,7,7-7,Dorota Arciszewska-Mielewczyk,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,467,7-467,Elżbieta Achinger,PO,przedsiębiorca - specjalista do spraw zarządzania,przedsiębiorca - specjalista do spraw zarządzania,przedsiębiorca - specjalista do spraw zarządzania,Biznes i finanse,Biznes i finanse
7,99,7-99,Elżbieta Gelert,PO,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,363,7-363,Franciszek Jerzy Stefaniuk,PSL,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,323,7-323,Grzegorz Raniewicz,PO,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,397,7-397,Grzegorz Tobiszowski,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,252,7-252,Izabela Katarzyna Mrzygłocka,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,43,7-43,Jacek Brzezinka,PO,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,257,7-257,Jacek Najder,BC,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,391,7-391,Jacek Świat,PiS,specjalista marketingu,specjalista marketingu,specjalista marketingu,Biznes i finanse,Biznes i finanse
7,381,7-381,Jakub Szulc,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,410,7-410,Jan Vincent-Rostowski,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,413,7-413,Jan Warzecha,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,449,7-449,Jan Ziobro,ZP,logistyk,logistyk,logistyk,Biznes i finanse,Biznes i finanse
7,295,7-295,Janusz Piechociński,PSL,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,36,7-36,Jerzy Borkowski,RP,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,32,7-32,Joanna Bobowska,PO,menedżer,menedżer,menedżer,Biznes i finanse,Biznes i finanse
7,451,7-451,Kosma Złotowski,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,172,7-172,Krystyna Kłosin,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,355,7-355,Krystyna Skowrońska,PO,bankowiec,bankowiec,bankowiec,Biznes i finanse,Biznes i finanse
7,37,7-37,Krzysztof Borkowski,PSL,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,173,7-173,Krzysztof Kłosowski,SLD,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,179,7-179,Lech Kołakowski,PiS,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,19,7-19,Maciej Banaszak,SLD,przedsiębiorca prywatny,przedsiębiorca prywatny,przedsiębiorca prywatny,Biznes i finanse,Biznes i finanse
7,251,7-251,Maciej Mroczek,RP,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,433,7-433,Maciej Wydrzyński,RP,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,98,7-98,Magdalena Gąsior-Marek,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,496,7-496,Marcin Duszek,PiS,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,392,7-392,Marcin Święcicki,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,18,7-18,Marek Balt,SLD,"ekonomista,inżynier",ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,74,7-74,Marek Domaracki,SLD,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,242,7-242,Marek Matuszewski,PiS,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,480,7-480,Marek Niedbała,SLD,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,511,7-511,Marek Poręba,PO,menedżer,menedżer,menedżer,Biznes i finanse,Biznes i finanse
7,139,7-139,Maria Małgorzata Janyska,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,117,7-117,Mariusz Grad,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,262,7-262,Małgorzata Niemczyk,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,292,7-292,Małgorzata Pępek,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,135,7-135,Michał Jach,PiS,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,141,7-141,Michał Jaros,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,107,7-107,Mieczysław Golba,ZP,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,161,7-161,Mieczysław Kasprzak,PSL,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,196,7-196,Mirosław Koźlakiewicz,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,268,7-268,Mirosława Nykiel,PO,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,416,7-416,Monika Wielichowska,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,424,7-424,Norbert Wojnarowski,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,273,7-273,Paweł Olszewski,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,342,7-342,Paweł Sajak,PSL,logistyk,logistyk,logistyk,Biznes i finanse,Biznes i finanse
7,368,7-368,Paweł Suski,PO,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,370,7-370,Paweł Szałamacha,PiS,menedżer,menedżer,menedżer,Biznes i finanse,Biznes i finanse
7,58,7-58,Piotr Cieśliński,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,399,7-399,Piotr Tomański,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,422,7-422,Radosław Witkowski,PO,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,490,7-490,Robert Jagła,PO,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,494,7-494,Robert Maciaszek,PO,"prawnik, menadżer",menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,412,7-412,Robert Wardzała,PO,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,96,7-96,Stanisław Gawłowski,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,185,7-185,Sławomir Kopyciński,BC,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,260,7-260,Sławomir Neumann,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,15,7-15,Tadeusz Aziewicz,PO,"doradca,ekonomista",doradca,doradca,Biznes i finanse,Biznes i finanse
7,15,7-15,Tadeusz Aziewicz,PO,"doradca,ekonomista",ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,401,7-401,Tadeusz Tomaszewski,SLD,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,472,7-472,Teresa Świło,PO,przedsiębiorca prywatny,przedsiębiorca prywatny,przedsiębiorca prywatny,Biznes i finanse,Biznes i finanse
7,114,7-114,Tomasz Górski,niez.,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,229,7-229,Tomasz Makowski,PSL,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,512,7-512,Urszula Rusecka,PiS,"ekonomista, pracownik samorządowy",ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,291,7-291,Wojciech Penkalski,niez.,przedsiębiorca,przedsiębiorca,przedsiębiorca,Biznes i finanse,Biznes i finanse
7,453,7-453,Wojciech Zubowski,PiS,specjalista do spraw zarządzania i organizacji,specjalista do spraw zarządzania i organizacji,specjalista do spraw zarządzania i organizacji,Biznes i finanse,Biznes i finanse
7,182,7-182,Zbigniew Konwiński,PO,menadżer,menadżer,menadżer,Biznes i finanse,Biznes i finanse
7,65,7-65,Zofia Czernow,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,39,7-39,Łukasz Borowiak,PO,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,202,7-202,Łukasz Krupa,niez.,ekonomista,ekonomista,ekonomista,Biznes i finanse,Biznes i finanse
7,471,7-471,Łukasz Tusk,PO,specjalista do spraw sprzedaży nieruchomości rolnych,specjalista do spraw sprzedaży nieruchomości rolnych,specjalista do spraw sprzedaży nieruchomości rolnych,Biznes i finanse,Biznes i finanse
7,195,7-195,Agnieszka Kozłowska-Rajewicz,PO,nauczyciel akademicki,nauczyciel akademicki,nauczyciel akademicki,Edukacja i nauka,Edukacja i nauka
7,405,7-405,Aleksandra Trybuś-Cieślar,PO,nauczyciel,nauczyciel,nauczyciel,Edukacja i nauka,Edukacja i nauka
