term,profession_group,mp_count,profession_rows_count
7,Administracja publiczna,43,44
8,Administracja publiczna,37,37
9,Administracja publiczna,36,36
10,Administracja publiczna,69,70
7,Biznes i finanse,96,97
8,Biznes i finanse,89,89
9,Biznes i finanse,79,79
10,Biznes i finanse,116,123
10,Brak danych,11,11
7,Edukacja i nauka,141,142
8,Edukacja i nauka,112,112
9,Edukacja i nauka,78,78
10,Edukacja i nauka,116,123
7,Inne,3,3
8,Inne,7,7
9,Inne,3,3
10,Inne,3,3
7,Inżynieria i techniczne,55,55
8,Inżynieria i techniczne,45,45
9,Inżynieria i techniczne,26,26
10,Inżynieria i techniczne,36,36
7,IT,2,2
8,IT,2,2
9,IT,6,6
10,IT,7,7
7,Media i kultura,18,18
8,Media i kultura,20,20
9,Media i kultura,20,20
10,Media i kultura,21,23
7,Polityka,74,74
8,Polityka,100,100
9,Polityka,140,140
10,Polityka,68,68
7,Prawo,54,54
8,Prawo,61,62
9,Prawo,59,59
10,Prawo,92,95
7,Rolnictwo i środowisko,12,12
8,Rolnictwo i środowisko,15,15
9,Rolnictwo i środowisko,9,9
10,Rolnictwo i środowisko,10,10
7,Sport i fitness,3,3
8,Sport i fitness,3,3
9,Sport i fitness,1,1
10,Sport i fitness,6,6
7,Służby mundurowe,1,1
8,Służby mundurowe,1,1
7,Zdrowie,26,26
8,Zdrowie,28,28
9,Zdrowie,19,19
10,Zdrowie,19,19
