term,profession_group_web,mp_count,profession_rows_count
7,Biznes i finanse,96,97
8,Biznes i finanse,89,89
9,Biznes i finanse,79,79
10,Biznes i finanse,116,123
10,Brak danych,11,11
7,Edukacja i nauka,141,142
8,Edukacja i nauka,112,112
9,Edukacja i nauka,78,78
10,Edukacja i nauka,116,123
7,Inne,15,15
8,Inne,22,22
9,Inne,12,12
10,Inne,13,13
7,"Kultura, media i sport",21,21
8,"Kultura, media i sport",23,23
9,"Kultura, media i sport",21,21
10,"Kultura, media i sport",27,29
7,Polityka,74,74
8,Polityka,100,100
9,Polityka,140,140
10,Polityka,68,68
7,Prawo,54,54
8,Prawo,61,62
9,Prawo,59,59
10,Prawo,92,95
7,Sektor publiczny i służby,44,45
8,Sektor publiczny i służby,38,38
9,Sektor publiczny i służby,36,36
10,Sektor publiczny i służby,69,70
7,Technika i IT,57,57
8,Technika i IT,47,47
9,Technika i IT,32,32
10,Technika i IT,43,43
7,Zdrowie,26,26
8,Zdrowie,28,28
9,Zdrowie,19,19
10,Zdrowie,19,19
