term,profession_group_web,weighted_mp_count,denominator_mp_count,weighted_share,weighted_share_percent
7,Biznes i finanse,93.5,517,0.180851,18.085106
8,Biznes i finanse,85.333333,505,0.168977,16.89769
9,Biznes i finanse,79.0,475,0.166316,16.631579
10,Biznes i finanse,97.416667,488,0.199624,19.962432
7,Edukacja i nauka,138.5,517,0.267892,26.789168
8,Edukacja i nauka,110.0,505,0.217822,21.782178
9,Edukacja i nauka,78.0,475,0.164211,16.421053
10,Edukacja i nauka,100.25,488,0.20543,20.543033
7,Inne,14.5,517,0.028046,2.804642
8,Inne,21.5,505,0.042574,4.257426
9,Inne,12.0,475,0.025263,2.526316
10,Inne,11.333333,488,0.023224,2.322404
7,"Kultura, media i sport",20.0,517,0.038685,3.868472
8,"Kultura, media i sport",22.5,505,0.044554,4.455446
9,"Kultura, media i sport",20.5,475,0.043158,4.315789
10,"Kultura, media i sport",19.25,488,0.039447,3.944672
7,Polityka,74.0,517,0.143133,14.313346
8,Polityka,99.0,505,0.19604,19.60396
9,Polityka,140.0,475,0.294737,29.473684
10,Polityka,65.333333,488,0.13388,13.387978
7,Prawo,52.0,517,0.10058,10.058027
8,Prawo,57.833333,505,0.114521,11.452145
9,Prawo,58.5,475,0.123158,12.315789
10,Prawo,82.666667,488,0.169399,16.939891
7,Sektor publiczny i służby,42.0,517,0.081238,8.123791
8,Sektor publiczny i służby,35.333333,505,0.069967,6.9967
9,Sektor publiczny i służby,36.0,475,0.075789,7.578947
10,Sektor publiczny i służby,58.416667,488,0.119706,11.970628
7,Technika i IT,56.5,517,0.109284,10.928433
8,Technika i IT,46.0,505,0.091089,9.108911
9,Technika i IT,32.0,475,0.067368,6.736842
10,Technika i IT,36.833333,488,0.075478,7.547814
7,Zdrowie,26.0,517,0.05029,5.029014
8,Zdrowie,27.5,505,0.054455,5.445545
9,Zdrowie,19.0,475,0.04,4.0
10,Zdrowie,16.5,488,0.033811,3.381148
